dmd,Antibiotic,Class,atccode,route,VmpUnit,WHO_AWaRe_2023,UK_AWaRe_2024,Include,Notes,vmp_id,vmp_nm,invalid_vmp,vtm_id,vtm_nm,atc_route,atc
Cefalexin 250mg/5ml oral suspension sugar free,Cefalexin,First-generation-cephalosporins,J01DB01,O,ml,a,a,1,,4515811000001108,Cefalexin 250mg/5ml oral suspension sugar free,False,775088005,Cefalexin,O,J01DB01
Cefalexin 500mg capsules,Cefalexin,First-generation-cephalosporins,J01DB01,O,capsule,a,a,1,,39694811000001102,Cefalexin 500mg capsules,False,775088005,Cefalexin,O,J01DB01
Cefalexin 500mg tablets,Cefalexin,First-generation-cephalosporins,J01DB01,O,tablet,a,a,1,,39735911000001106,Cefalexin 500mg tablets,False,775088005,Cefalexin,O,J01DB01
Cefalexin 500mg/5ml oral suspension,Cefalexin,First-generation-cephalosporins,J01DB01,O,ml,a,a,1,,36134311000001108,Cefalexin 500mg/5ml oral suspension,False,775088005,Cefalexin,O,J01DB01
Cefalotin,Cefalotin,First-generation-cephalosporins,J01DB03,P,,a,a,1,,,,,,,,
Cefamandole 1g powder for solution for injection vials,Cefamandole,Second-generation-cephalosporins,J01DC03,P,vial,w,w,1,,4457111000001107,Cefamandole 1g powder for solution for injection vials,False,775090006,Cefamandole,P,J01DC03
Cefazolin 1g powder for solution for injection vials,Cefazolin,First-generation-cephalosporins,J01DB04,P,vial,a,a,1,,41872611000001103,Cefazolin 1g powder for solution for injection vials,False,775092003,Cefazolin,P,J01DB04
Cefazolin 2g powder for solution for injection vials,Cefazolin,First-generation-cephalosporins,J01DB04,P,vial,a,a,1,,33631211000001106,Cefazolin 2g powder for solution for injection vials,False,775092003,Cefazolin,P,J01DB04
Cefazolin 500mg powder for solution for injection vials,Cefazolin,First-generation-cephalosporins,J01DB04,P,vial,a,a,1,,41872711000001107,Cefazolin 500mg powder for solution for injection vials,False,775092003,Cefazolin,P,J01DB04
Cefepime 1g powder for solution for injection vials,Cefepime,Fourth-generation-cephalosporins,J01DE01,P,vial,w,w,1,,36458411000001105,Cefepime 1g powder for solution for injection vials,False,775095001,Cefepime,P,J01DE01
Cefepime 2g powder for solution for injection vials,Cefepime,Fourth-generation-cephalosporins,J01DE01,P,vial,w,w,1,,36458511000001109,Cefepime 2g powder for solution for injection vials,False,775095001,Cefepime,P,J01DE01
Cefiderocol 1g powder for solution for infusion vials,Cefiderocol,Other-cephalosporins,J01DI04,P,vial,r,r,1,,39002611000001100,Cefiderocol 1g powder for solution for infusion vials,False,830205006,Cefiderocol,P,J01DI04
Cefixime 100mg/5ml oral suspension,Cefixime,Third-generation-cephalosporins,J01DD08,O,ml,w,w,1,,36134411000001101,Cefixime 100mg/5ml oral suspension,False,775097009,Cefixime,O,J01DD08
Cefixime 200mg tablets,Cefixime,Third-generation-cephalosporins,J01DD08,O,tablet,w,w,1,,41943211000001104,Cefixime 200mg tablets,False,775097009,Cefixime,O,J01DD08
Cefixime 400mg tablets,Cefixime,Third-generation-cephalosporins,J01DD08,O,tablet,w,w,1,,41943311000001107,Cefixime 400mg tablets,False,775097009,Cefixime,O,J01DD08
Cefotaxime 1g powder for solution for injection vials,Cefotaxime,Third-generation-cephalosporins,J01DD01,P,vial,w,w,1,,41943411000001100,Cefotaxime 1g powder for solution for injection vials,False,775103002,Cefotaxime,P,J01DD01
Cefotaxime 2g powder for solution for injection vials,Cefotaxime,Third-generation-cephalosporins,J01DD01,P,vial,w,w,1,,4558311000001100,Cefotaxime 2g powder for solution for injection vials,False,775103002,Cefotaxime,P,J01DD01
Cefotaxime 500mg powder for solution for injection vials,Cefotaxime,Third-generation-cephalosporins,J01DD01,P,vial,w,w,1,,41943511000001101,Cefotaxime 500mg powder for solution for injection vials,False,775103002,Cefotaxime,P,J01DD01
Cefoxitin 1g powder for solution for injection vials,Cefoxitin,Second-generation-cephalosporins,J01DC01,P,vial,w,w,1,,41943611000001102,Cefoxitin 1g powder for solution for injection vials,False,775107001,Cefoxitin,P,J01DC01
Cefoxitin 2g powder for solution for injection vials,Cefoxitin,Second-generation-cephalosporins,J01DC01,P,vial,w,w,1,,41943711000001106,Cefoxitin 2g powder for solution for injection vials,False,775107001,Cefoxitin,P,J01DC01
Cefpirome 1g powder for solution for injection vials,Cefpirome,Fourth-generation-cephalosporins,J01DE02,P,vial,w,r,1,,41943811000001103,Cefpirome 1g powder for solution for injection vials,False,775108006,Cefpirome,P,J01DE02
Cefpirome 2g powder for solution for injection vials,Cefpirome,Fourth-generation-cephalosporins,J01DE02,P,vial,w,r,1,,41943911000001108,Cefpirome 2g powder for solution for injection vials,False,775108006,Cefpirome,P,J01DE02
Cefpodoxime 100mg tablets,Cefpodoxime,Third-generation-cephalosporins,J01DD13,O,tablet,w,w,1,,41944011000001106,Cefpodoxime 100mg tablets,False,775109003,Cefpodoxime,O,J01DD13
Cefpodoxime 40mg/5ml oral suspension,Cefpodoxime,Third-generation-cephalosporins,J01DD13,O,ml,w,w,1,,35369711000001108,Cefpodoxime 40mg/5ml oral suspension,False,775109003,Cefpodoxime,O,J01DD13
Cefprozil 250mg tablets,Cefprozil,Second-generation-cephalosporins,J01DC10,O,tablet,w,w,1,,41944111000001107,Cefprozil 250mg tablets,False,775110008,Cefprozil,O,J01DC10
Cefprozil 250mg/5ml oral suspension,Cefprozil,Second-generation-cephalosporins,J01DC10,O,ml,w,w,1,,41944211000001101,Cefprozil 250mg/5ml oral suspension,False,775110008,Cefprozil,O,J01DC10
Cefprozil 500mg tablets,Cefprozil,Second-generation-cephalosporins,J01DC10,O,tablet,w,w,1,,41944311000001109,Cefprozil 500mg tablets,False,775110008,Cefprozil,O,J01DC10
Cefradine 1g powder for solution for injection vials,Cefradine,First-generation-cephalosporins,J01DB09,P,vial,a,a,1,,41944411000001102,Cefradine 1g powder for solution for injection vials,False,775112000,Cefradine,P,J01DB09
Cefradine 250mg capsules,Cefradine,First-generation-cephalosporins,J01DB09,O,capsule,a,a,1,,41944511000001103,Cefradine 250mg capsules,False,775112000,Cefradine,O,J01DB09
Cefradine 250mg/5ml oral solution,Cefradine,First-generation-cephalosporins,J01DB09,O,ml,a,a,1,,36134511000001102,Cefradine 250mg/5ml oral solution,False,775112000,Cefradine,O,J01DB09
Cefradine 500mg capsules,Cefradine,First-generation-cephalosporins,J01DB09,O,capsule,a,a,1,,41944611000001104,Cefradine 500mg capsules,False,775112000,Cefradine,O,J01DB09
Cefradine 500mg powder for solution for injection vials,Cefradine,First-generation-cephalosporins,J01DB09,P,vial,a,a,1,,41944711000001108,Cefradine 500mg powder for solution for injection vials,False,775112000,Cefradine,P,J01DB09
Ceftaroline fosamil 600mg powder for solution for infusion vials,Ceftaroline-fosamil,Fifth-generation cephalosporins,J01DI02,P,vial,r,r,1,,21386911000001101,Ceftaroline fosamil 600mg powder for solution for infusion vials,False,21387311000001104,Ceftaroline fosamil,P,J01DI02
Ceftazidime 1.09g/50ml solution for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 1.2g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 1.46g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 1.5g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 1.65g/50ml solution for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 1.77g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 1.7g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 1.875g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 1.8g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 1.8g/30ml solution for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 1.9g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 1g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,41944811000001100,Ceftazidime 1g powder for solution for injection vials,False,775115003,Ceftazidime,P,J01DD02
Ceftazidime 1g/25ml solution for infusion pre-filled syringes,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,22098511000001105,Ceftazidime 1g/25ml solution for infusion pre-filled syringes,False,775115003,Ceftazidime,P,J01DD02
Ceftazidime 1g/50ml infusion bags,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,22097911000001104,Ceftazidime 1g/50ml infusion bags,False,775115003,Ceftazidime,P,J01DD02
Ceftazidime 1g/50ml solution for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,22455011000001109,Ceftazidime 1g/50ml solution for infusion pre-filled injection devices,True,775115003,Ceftazidime,P,J01DD02
Ceftazidime 2.2g/50ml solution for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 2.5g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 2.9g intravenous infusion vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 250mg powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,41944911000001105,Ceftazidime 250mg powder for solution for injection vials,False,775115003,Ceftazidime,P,J01DD02
Ceftazidime 2g / Avibactam 500mg powder for solution for infusion vials,Ceftazidime/avibactam,Third-generation-cephalosporins,J01DD52,P,vial,r,r,1,,34179911000001103,Ceftazidime 2g / Avibactam 500mg powder for solution for infusion vials,False,781300005,Ceftazidime + Avibactam,P,J01DD52
Ceftazidime 2g / avibactam 500mg powder for solution for infusion vials,Ceftazidime/avibactam,Third-generation-cephalosporins,J01DD52,P,vial,r,r,1,,34179911000001103,Ceftazidime 2g / Avibactam 500mg powder for solution for infusion vials,False,781300005,Ceftazidime + Avibactam,P,J01DD52
Ceftazidime 2g intravenous infusion vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,323856006,Ceftazidime 2g intravenous infusion vials,True,775115003,Ceftazidime,P,J01DD02
Ceftazidime 2g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,41945011000001105,Ceftazidime 2g powder for solution for injection vials,False,775115003,Ceftazidime,P,J01DD02
Ceftazidime 2g/50ml solution for infusion pre-filled injection devices,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,ml,w,w,1,,,,,,,,
Ceftazidime 3.1g intravenous infusion vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 3.22g intravenous infusion vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 3.36g intravenous infusion vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 3.3g intravenous infusion vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 3.5g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
Ceftazidime 3.6g powder for solution for injection vials,Ceftazidime,Third-generation-cephalosporins,J01DD02,P,vial,w,w,1,,,,,,,,
