Antibiotic,vtm_nm,vtm_id,vmp_nm,vmp_id,vmp_atc_route,atc_route,aware_2019,aware_2024
Chloramphenicol,Chloramphenicol,775160002,Chloramphenicol 1% eye ointment,42186711000001106,,,Watch,Watch
Chloramphenicol,Chloramphenicol,775160002,Chloramphenicol 5% ear drops,42186911000001108,,,Watch,Watch
Chloramphenicol,Chloramphenicol,775160002,Chloramphenicol 250mg capsules,41946111000001100,O,,Watch,Watch
Chloramphenicol,Chloramphenicol,775160002,Chloramphenicol 10% ear drops,42186811000001103,,,Watch,Watch
Chloramphenicol,Chloramphenicol,775160002,Chloramphenicol 1g powder for solution for injection vials,41946011000001101,P,,Watch,Watch
Chloramphenicol,Chloramphenicol,775160002,Chloramphenicol 0.5% eye drops 0.5ml unit dose preservative free,4700911000001108,,,Watch,Watch
Chloramphenicol,Chloramphenicol,775160002,Chloramphenicol 0.5% eye drops preservative free,36135411000001100,,,Watch,Watch
Cilastatin + Imipenem + Relebactam,Cilastatin + Imipenem + Relebactam,789074009,Generic Recarbrio 500mg/500mg/250mg powder for solution for infusion vials,38840011000001101,P,,Reserve,Reserve
Ciprofloxacin,Ciprofloxacin + Dexamethasone,775262002,Ciprofloxacin 0.3% / Dexamethasone 0.1% ear drops,30780311000001108,,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 100mg tablets,39686211000001109,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 250mg tablets,39687511000001109,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 500mg tablets,39687811000001107,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 750mg tablets,39687011000001101,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 400mg/200ml infusion bags,36141511000001100,P,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 200mg/100ml infusion bags,36141011000001108,P,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 100mg/50ml solution for infusion bottles,36140911000001100,P,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 250mg/5ml oral suspension,41760211000001107,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 0.3% eye drops,42187111000001108,,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 200mg/100ml solution for infusion bottles,8967411000001108,P,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 400mg/200ml solution for infusion bottles,8973011000001101,P,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 3mg/g eye ointment,9552511000001108,,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 100mg/50ml solution for infusion vials,10892711000001106,P,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 200mg/100ml solution for infusion vials,10892811000001103,P,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 400mg/200ml solution for infusion vials,10892911000001108,P,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 45mg/5ml oral suspension,12020411000001104,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 500mg/5ml oral suspension,12020511000001100,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 50mg/5ml oral suspension,12020611000001101,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 60mg/5ml oral suspension,12020711000001105,O,,Watch,Watch
